model: /home/marble/AI/Models/Qwen2.5-0.5B/model.safetensors  layers=24 hidden=896 vocab=151936
window: 256 tokens from english_window_256_qwen25.txt (first: 2176 4627 2677 3545)
gpu: gfx1201 x2 (equivalence sweep OK, 0.0 MB will go resident)
determinism spot check: OK
head window: restricted to 256 mined tokens (full-vocab head off for mining)
recert: auditing soul_english_v1.cnb against the current oracle
recert DRIFT acq_tk25749q25749: match=0 miss=182 abstain=24 err=0
recert DRIFT acq_tk2455q2455: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk2411q2411: match=0 miss=192 abstain=17 err=0
recert DRIFT acq_tk1526q1526: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1676q1676: match=0 miss=185 abstain=21 err=0
recert DRIFT acq_tk2033q2033: match=0 miss=97 abstain=8 err=0
recert DRIFT acq_tk2247q2247: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1345q1345: match=0 miss=177 abstain=31 err=0
recert DRIFT acq_tk1944q1944: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1441q1441: match=0 miss=179 abstain=27 err=0
recert DRIFT acq_tk992q992: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1388q1388: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk2634q2634: match=0 miss=182 abstain=24 err=0
recert DRIFT acq_tk1461q1461: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk1806q1806: match=0 miss=92 abstain=13 err=0
recert DRIFT acq_tk1076q1076: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk13315q13315: match=0 miss=92 abstain=13 err=0
recert DRIFT acq_tk3442q3442: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1677q1677: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk2311q2311: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk2255q2255: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk6938q6938: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1447q1447: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk2827q2827: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1335q1335: match=0 miss=99 abstain=7 err=0
recert DRIFT acq_tk2689q2689: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk1638q1638: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk4400q4400: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk2490q2490: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1680q1680: match=0 miss=99 abstain=7 err=0
recert DRIFT acq_tk1757q1757: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk2708q2708: match=0 miss=88 abstain=18 err=0
recert DRIFT acq_tk1601q1601: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1879q1879: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1751q1751: match=0 miss=94 abstain=11 err=0
recert DRIFT acq_tk1822q1822: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1623q1623: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1183q1183: match=0 miss=88 abstain=18 err=0
recert DRIFT acq_tk1164q1164: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1343q1343: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1401q1401: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1463q1463: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1208q1208: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1023q1023: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk2583q2583: match=0 miss=86 abstain=20 err=0
recert DRIFT acq_tk786q786: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1535q1535: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk1418q1418: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1407q1407: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk3588q3588: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1051q1051: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk880q880: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk4886q4886: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk1186q1186: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk2268q2268: match=0 miss=78 abstain=28 err=0
recert DRIFT acq_tk1063q1063: match=0 miss=85 abstain=21 err=0
recert DRIFT acq_tk1308q1308: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1298q1298: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk3892q3892: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk1603q1603: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk1977q1977: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk974q974: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1769q1769: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk912q912: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk981q981: match=0 miss=90 abstain=15 err=0
recert DRIFT acq_tk861q861: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1027q1027: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1586q1586: match=0 miss=94 abstain=11 err=0
recert DRIFT acq_tk1492q1492: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1010q1010: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk2678q2678: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk1679q1679: match=0 miss=87 abstain=19 err=0
recert DRIFT acq_tk1149q1149: match=0 miss=94 abstain=11 err=0
recert DRIFT acq_tk1331q1331: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk1171q1171: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk2246q2246: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1082q1082: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1813q1813: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1281q1281: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1024q1024: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk1015q1015: match=0 miss=94 abstain=11 err=0
recert DRIFT acq_tk1548q1548: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1346q1346: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk951q951: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk5057q5057: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1041q1041: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1602q1602: match=0 miss=96 abstain=9 err=0
recert DRIFT acq_tk2229q2229: match=0 miss=86 abstain=20 err=0
recert DRIFT acq_tk817q817: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk1451q1451: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1719q1719: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk919q919: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1385q1385: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk815q815: match=0 miss=94 abstain=11 err=0
recert DRIFT acq_tk1156q1156: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1515q1515: match=0 miss=83 abstain=23 err=0
recert DRIFT acq_tk1460q1460: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk3210q3210: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1386q1386: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1440q1440: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1116q1116: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1239q1239: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk834q834: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1133q1133: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk4903q4903: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1093q1093: match=0 miss=95 abstain=10 err=0
recert DRIFT acq_tk1091q1091: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1299q1299: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1551q1551: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1003q1003: match=0 miss=99 abstain=7 err=0
recert DRIFT acq_tk1595q1595: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk795q795: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk768q768: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk990q990: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk910q910: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk776q776: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk837q837: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1304q1304: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1546q1546: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk614q614: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1176q1176: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1217q1217: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk822q822: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk1161q1161: match=0 miss=88 abstain=17 err=0
recert DRIFT acq_tk872q872: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk1056q1056: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk993q993: match=0 miss=86 abstain=20 err=0
recert DRIFT acq_tk784q784: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk964q964: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1032q1032: match=0 miss=99 abstain=7 err=0
recert DRIFT acq_tk855q855: match=0 miss=92 abstain=13 err=0
recert DRIFT acq_tk740q740: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk692q692: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1070q1070: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1144q1144: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk840q840: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk711q711: match=0 miss=102 abstain=4 err=0
recert DRIFT acq_tk684q684: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk1053q1053: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk653q653: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk699q699: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk672q672: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk735q735: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk886q886: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk657q657: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk577q577: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk901q901: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk607q607: match=0 miss=90 abstain=14 err=0
recert DRIFT acq_tk659q659: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk580q580: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk573q573: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk691q691: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk563q563: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk528q528: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk531q531: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk532q532: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk529q529: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk506q506: match=0 miss=98 abstain=7 err=0
recert: 256 units audited — 0 clean, 256 drifted; exemplars match=0 miss=28314 abstain=3805 err=0 mean_top3_overlap=0.015
recert report: soul_english_v1.cnb.recert.txt
