path	action	reason	replacement	original_sha256	recovery
attic/retired_python/README.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	attic/retired_python/README.md	d66374c8e15b52d989272d85ac78a3d6094867cf3b7fad835d659670a4ffbca5	attic/documentation-20260906.tar.gz:attic/retired_python/README.md
benchmarks/cnet_asi5_v1/RESULTS.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	76c2408bcdc10a077e620e9a627defc232ac1160888283c201a7e9f980834797	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v1/RESULTS.md
benchmarks/cnet_asi5_v1/baseline_system.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	f3ef4c33535a007728e13dd9b1c89bcc124a94261d6814136a62735d34a8bf0a	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v1/baseline_system.txt
benchmarks/cnet_asi5_v2/WITHDRAWN.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	6d950f203d8d80e5280f130520a825c389373f8b14f2db4db3491cde4156f4fd	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v2/WITHDRAWN.md
benchmarks/cnet_asi5_v2/baseline_system.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	f3ef4c33535a007728e13dd9b1c89bcc124a94261d6814136a62735d34a8bf0a	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v2/baseline_system.txt
benchmarks/cnet_asi5_v3/FREEZE_PROTOCOL.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	fa0f3e68cc29d361769cff3fd8c01996f3ce449937defae22ff0a38b0a6a7a33	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v3/FREEZE_PROTOCOL.md
benchmarks/cnet_asi5_v3/RESULTS.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	96a2681e4045938a194b6051ff2abf427c1ad74145cfb2596bf6e23dfbb9128e	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v3/RESULTS.md
benchmarks/cnet_asi5_v3/baseline_system.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	f3ef4c33535a007728e13dd9b1c89bcc124a94261d6814136a62735d34a8bf0a	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v3/baseline_system.txt
benchmarks/cnet_asi5_v3/candidate_behavior_paths.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	f8a712775d0eb9a5f638304beaad6fc748025282fd3f2fd56ef91cd8fb7dc13c	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v3/candidate_behavior_paths.txt
benchmarks/cnet_asi5_v4/FREEZE_PROTOCOL.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	3f2d6ede2e2e934484df4e04d5320fa68aa8a27ad562a62f91e590e24bed75e1	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v4/FREEZE_PROTOCOL.md
benchmarks/cnet_asi5_v4/baseline_system.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	ef041b1eeb66cc33aa8516420ab77cc09c02d06e5efd81e53194fed48bc2ba4b	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v4/baseline_system.txt
benchmarks/cnet_asi5_v4/candidate_behavior_paths.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	ef8ce701ebf7b442b66933a1416a1d7bbe92b972a55f0d6645ff876ff8d21591	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v4/candidate_behavior_paths.txt
benchmarks/cnet_asi5_v5/FREEZE_PROTOCOL.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	c038dfd0027e12de2c87396d27c1707db39bc3b5172e18e56922bd373fc51ed2	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v5/FREEZE_PROTOCOL.md
benchmarks/cnet_asi5_v5/baseline_system.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	ef041b1eeb66cc33aa8516420ab77cc09c02d06e5efd81e53194fed48bc2ba4b	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v5/baseline_system.txt
benchmarks/cnet_asi5_v5/candidate_behavior_paths.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	4452585dbb7f85dfacb97918ee6ae6fcce387bdc019c7acb04a193305b3a53c2	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi5_v5/candidate_behavior_paths.txt
benchmarks/cnet_asi_chat1/FREEZE_PROTOCOL.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	8f44b368b6a47de04f91c75916d3fe5dcf8df5da44286b0503a19a33998039e4	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi_chat1/FREEZE_PROTOCOL.md
benchmarks/cnet_asi_chat1/baseline_system.txt	preserve	dated/frozen evidence or negative result; preserve exact record	-	3e38a9fead1e807a54fc5133f076c02133eb178bd79a579067a64ffa5b719c67	git:c6154036880c87db69c880ba36a22087815b48b0:benchmarks/cnet_asi_chat1/baseline_system.txt
build/CMakeLists.txt	preserve	build input; not prose	-	ddad3fe96c8e96e31e5d360eb1ea2801d179fbef21c90c5296bf7f4980b3f73c	git:c6154036880c87db69c880ba36a22087815b48b0:build/CMakeLists.txt
build/README.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	build/README.md	7c7e5e95aa90b224c5aa99cbfe53e7549089be0ff89c41e6824905640f0b30d0	attic/documentation-20260906.tar.gz:build/README.md
build/built_demo.txt	retire	reproducible demo output; writer only, no input consumer	build/README.md	20720f42591b3e7fa35eb9be27321e5f780469154955ecfd8375247bb261ac4e	attic/documentation-20260906.tar.gz:build/built_demo.txt
combine_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	cef19a4315738b6d3e5bd32f89c91f27fc7649a92af6497804778624b1e928b7	git:c6154036880c87db69c880ba36a22087815b48b0:combine_contract.txt
combine_inverts_split_property.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	7eece0db8040d3f24849635bcd289993c9f8edc163c0f77a7253d0d9a4ab82ed	git:c6154036880c87db69c880ba36a22087815b48b0:combine_inverts_split_property.txt
combine_weights.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	a8a480ed5b04600d8455dfaafdbc6d564d1a12ba44bb5f493c425f10de2b0a16	git:c6154036880c87db69c880ba36a22087815b48b0:combine_weights.txt
compound_memory.txt	retire	stale five-line progress summary; retained phase records supersede it	CNET-Improvement-Plan-Model-Compression.md	65db1de928c1e96e35c5bc930a64aa6d37177e14ac4688c7980c82cb53c6e4af	attic/documentation-20260906.tar.gz:compound_memory.txt
cond_increment_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	287d23a501e75752c89fe9da188be5498ecc2999223d9efa5901943ee736d512	git:c6154036880c87db69c880ba36a22087815b48b0:cond_increment_contract.txt
cond_increment_weights.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	ae98bf498646b9b1499822010b20aa8d4b650d8a78ac90fad7e1e8929f61b7c3	git:c6154036880c87db69c880ba36a22087815b48b0:cond_increment_weights.txt
config/actuator_charter.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	920068ee6a54fdcc2d99d238640107a430ef5c7bf2b8a746fe21095eaffb3281	git:c6154036880c87db69c880ba36a22087815b48b0:config/actuator_charter.txt
config/core_bricks_seed/README.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	config/core_bricks_seed/README.md	b29c50583b2ced38f6ee62b185faa8f6e5d2b29e0bc1c00ab830fa72b11de6eb	attic/documentation-20260906.tar.gz:config/core_bricks_seed/README.md
config/en_teacher_lemmas.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	a5a283c898824c656d9090d9c2e6701abde9b93f01fa7be23aab3abc627a6c3d	git:c6154036880c87db69c880ba36a22087815b48b0:config/en_teacher_lemmas.txt
config/governor_verified_urls.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	f8c5eeebe8296046d8c5df33d55d86c70c4e7b968c3cb6d5673e6b41fc310edc	git:c6154036880c87db69c880ba36a22087815b48b0:config/governor_verified_urls.txt
config/modality_contexts/README.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	config/modality_contexts/README.md	20cdd07a6991e22261b789d1e62cd291aec9dd9b0a83e598f376ae9c4b59e8e1	attic/documentation-20260906.tar.gz:config/modality_contexts/README.md
config/probe_shortcircuit.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	ec692813447c6155dc8ed747d3e44a1391301649a95ba78bbed421ff67beeabe	git:c6154036880c87db69c880ba36a22087815b48b0:config/probe_shortcircuit.txt
config/promote_blocklist.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	dd276c532094caefabe29d53df7c86d2e527031508ba1e1f24ad6171f8847d89	git:c6154036880c87db69c880ba36a22087815b48b0:config/promote_blocklist.txt
config/voice_marble.md	preserve	runtime policy/prompt/pack data; preserve consumers	-	5afd5902895be1d76a07d7701ed224cbe6702c0f88156977efc277016586236b	git:c6154036880c87db69c880ba36a22087815b48b0:config/voice_marble.md
dec_add_commutes_property.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	39169a0d3f3762ac53620629482d701a913dd9bafe40fe26034bdc946018de1e	git:c6154036880c87db69c880ba36a22087815b48b0:dec_add_commutes_property.txt
dec_add_unit_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	0fb2e74035e1e7e92436d1e7fe0f9f41b8fe012e8ef2397361cd40a5a5e46e64	git:c6154036880c87db69c880ba36a22087815b48b0:dec_add_unit_contract.txt
dec_add_unit_weights.txt	preserve	pre-existing dirty generated weight input; working bytes preserved	-	b11a6ba82096111095d8e06aca4dd903731750325970a2716387cfc28c149102	before.tar.gz:dec_add_unit_weights.txt
dec_full_add_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	2956975876e9b80c934853215ef965ffadb41aafaead6143b93f5a1a6ffae571	git:c6154036880c87db69c880ba36a22087815b48b0:dec_full_add_contract.txt
dec_full_add_weights.txt	preserve	pre-existing dirty generated weight input; working bytes preserved	-	23d5bf6ba5fb8b1f9511683101de28e4f46156fd8ecdf31e9fac30afb4fc2b11	before.tar.gz:dec_full_add_weights.txt
dec_full_adder_unit_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	b3444732e77b0f652f34ef8de1e39859eeb397dafaf659792b5876510b7a35ae	git:c6154036880c87db69c880ba36a22087815b48b0:dec_full_adder_unit_contract.txt
dec_full_adder_unit_weights.txt	preserve	pre-existing dirty generated weight input; working bytes preserved	-	d26956fb28ddd742b507ab4080a628e09102ad62fccad1b58652bd0bece2618a	before.tar.gz:dec_full_adder_unit_weights.txt
dec_swap_ab_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	2b4aa1e5da5746c9a17294627c7c9405150a53214ddebcae29a3fa6462f1ec7a	git:c6154036880c87db69c880ba36a22087815b48b0:dec_swap_ab_contract.txt
dec_swap_ab_weights.txt	preserve	pre-existing dirty generated weight input; working bytes preserved	-	154c9981c1817b536493bbd74cc98be4b6af7839c11ddecfe520a83f631e7cba	before.tar.gz:dec_swap_ab_weights.txt
dec_to_symbol_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	f2c530fedbe2c05804a5954c75b6004a0d7ef4a73d9b566590ab5774bf501e92	git:c6154036880c87db69c880ba36a22087815b48b0:dec_to_symbol_contract.txt
dec_to_symbol_weights.txt	preserve	pre-existing dirty generated weight input; working bytes preserved	-	239f0111a6e9db859ee9b2697864de012bd9d399f46fa3f03e51da287dea0997	before.tar.gz:dec_to_symbol_weights.txt
dec_value_contract.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	832ad4e2078bec696d0efdf63c29865eac627b18ca8ee042ec8bb7ccb3bd8340	git:c6154036880c87db69c880ba36a22087815b48b0:dec_value_contract.txt
dec_value_roundtrip_property.txt	preserve	model/test/corpus input or provenance output; explicit and derived consumers retained	-	8c0c5a1b760a44fd5e5d0df54ed5fe439252b88460140a422f7b64fa870e5f8f	git:c6154036880c87db69c880ba36a22087815b48b0:dec_value_roundtrip_property.txt
dec_value_weights.txt	preserve	pre-existing dirty generated weight input; working bytes preserved	-	64f0ab4da7c70c3064fc9ac6672a87621a612057ab59804fc7eae67ed9debacf	before.tar.gz:dec_value_weights.txt
docs/ARCHITECTURE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/ARCHITECTURE.md	cc836e34e25cd70f9840cb024168e305cf53a07bde216807a026e17f6f668863	attic/documentation-20260906.tar.gz:docs/ARCHITECTURE.md
docs/ASI_IMPROVE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/ASI_IMPROVE.md	3a99ca8ff6a8fb29cf8e159c4bfe0d24ca9636f0c190d2222cd535ea7ac51288	attic/documentation-20260906.tar.gz:docs/ASI_IMPROVE.md
docs/AUTONOMY_CHARTER.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/AUTONOMY_CHARTER.md	6f7e3aadd5dce8662abb0021c194bda9e9a7a9366c86622d1f0dd9b84b6a2281	attic/documentation-20260906.tar.gz:docs/AUTONOMY_CHARTER.md
docs/BRAIN_CNET_CAPSULE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/BRAIN_CNET_CAPSULE.md	42eec871e5515a41cd854de1701a231284662c088ab4df8ffede549c5511001b	attic/documentation-20260906.tar.gz:docs/BRAIN_CNET_CAPSULE.md
docs/CAPSULE_CORE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CAPSULE_CORE.md	f5ce30592b52d50de5554d21b1e52f130354bbbdb8897606b1a9b7494123259e	attic/documentation-20260906.tar.gz:docs/CAPSULE_CORE.md
docs/CERT_COVERAGE_HARVEST.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CERT_COVERAGE_HARVEST.md	c8afd018ef5b342773cc25f48ce7d8072104cb7a26f5d95cb9c3349a0227c24a	attic/documentation-20260906.tar.gz:docs/CERT_COVERAGE_HARVEST.md
docs/CHAIN_OF_THOUGHT.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CHAIN_OF_THOUGHT.md	e96352bd26e8d3e7a42616c3e0b03bba324b094dd9441a0a0514d9707c8d9ff3	attic/documentation-20260906.tar.gz:docs/CHAIN_OF_THOUGHT.md
docs/CHANGELOG.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CHANGELOG.md	af86e8129a570ea57d4a7244501d784f8bf34e11a8ce73144d7015f9cc9d5060	attic/documentation-20260906.tar.gz:docs/CHANGELOG.md
docs/CNETD.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CNETD.md	23b956a7fbbb95e59b7d093848670028ab586d1a436d1cbac2a8849773c7d197	attic/documentation-20260906.tar.gz:docs/CNETD.md
docs/CNET_DISTILL.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CNET_DISTILL.md	34cc524b653062fa6a5db30ec4e77ec82f7da5984b6bc9063f14bf89ee83da94	attic/documentation-20260906.tar.gz:docs/CNET_DISTILL.md
docs/CNET_MARBLE_24_7.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CNET_MARBLE_24_7.md	8df38faa1e3a482ed7922e93d0fc8b5df95882251d36e0621acb9c9eba450889	attic/documentation-20260906.tar.gz:docs/CNET_MARBLE_24_7.md
docs/CNET_WEB.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CNET_WEB.md	8d80819670ebb0f5c2a9e9f77d8155b583e65640ea31fb1ce5cfd50fe71a14c1	attic/documentation-20260906.tar.gz:docs/CNET_WEB.md
docs/CONTINUITY_WORKSPACE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/CONTINUITY_WORKSPACE.md	ea66da8fea8a2430ee67e9978ba9bec5741a309fdcc66f9f339e1436533130dc	attic/documentation-20260906.tar.gz:docs/CONTINUITY_WORKSPACE.md
docs/DOMAIN_ROUTE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/DOMAIN_ROUTE.md	31502b59c82cd7e9008443707fe49343e3c46e87fb617bb05ac7cc0c507bcb31	attic/documentation-20260906.tar.gz:docs/DOMAIN_ROUTE.md
docs/EXECUTION_TIERS.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/EXECUTION_TIERS.md	acd695c6b84cb70c2bbb001b364ae83038171fcea845b4dfa03c95c4a079ee6d	attic/documentation-20260906.tar.gz:docs/EXECUTION_TIERS.md
docs/EXPLORE_TICK.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/EXPLORE_TICK.md	dd4dcc99d5da8703ceb72a3d52e94bddac858b9d1af15e50edea307ef65cabaa	attic/documentation-20260906.tar.gz:docs/EXPLORE_TICK.md
docs/GENERATE_FIFO.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/GENERATE_FIFO.md	2b0992faf4642db660f68fb220e6d7cefd2124c5c30a91245879af977cec952d	attic/documentation-20260906.tar.gz:docs/GENERATE_FIFO.md
docs/GOLD_CURRICULUM_HARVEST.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/GOLD_CURRICULUM_HARVEST.md	00f18337cc3387572a7123a1db72fa75980897a25e36afe315750797954e4226	attic/documentation-20260906.tar.gz:docs/GOLD_CURRICULUM_HARVEST.md
docs/INDEX.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/INDEX.md	20c0ddc3a2fe5ea97d7d0089e00378c50c9735635da474d91f78e207583482b1	attic/documentation-20260906.tar.gz:docs/INDEX.md
docs/KV_STREAM_INDEX.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/KV_STREAM_INDEX.md	df8c03f3c4d1c7904708f180c06c9ecc47a2f0f5d7dacd5d52a1126cd093386b	attic/documentation-20260906.tar.gz:docs/KV_STREAM_INDEX.md
docs/MEM_RUNTIME.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/MEM_RUNTIME.md	89020a356aa648d3f23717debc59c78dddd35444b89a285378b62203819908b0	attic/documentation-20260906.tar.gz:docs/MEM_RUNTIME.md
docs/NEUROMOD_PERSONALITY.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/NEUROMOD_PERSONALITY.md	d5d1736c922a8a2b02daf6b0dc8a9646344f8a01f5358c8467c7a7de1933b9b5	attic/documentation-20260906.tar.gz:docs/NEUROMOD_PERSONALITY.md
docs/OPEN_CHAT.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/OPEN_CHAT.md	f50994ed6117dd6c946b333cb06c192322f895228ad3fd4ae058cd0b3ae9ce54	attic/documentation-20260906.tar.gz:docs/OPEN_CHAT.md
docs/PACK_ENGLISH_BASIC.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/PACK_ENGLISH_BASIC.md	73597a0026caae93647c9b48c57b296ad21ef05a9d96e25ce109d9de0b65a20a	attic/documentation-20260906.tar.gz:docs/PACK_ENGLISH_BASIC.md
docs/QUERY_ALIAS_DIALOG_CTX.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/QUERY_ALIAS_DIALOG_CTX.md	46762343dd89a469ee1fb88639520e42d70ba95b2a075d9133bc4f393eeb8868	attic/documentation-20260906.tar.gz:docs/QUERY_ALIAS_DIALOG_CTX.md
docs/RELEASE_POLICY.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/RELEASE_POLICY.md	720b712d2be9f73d29ad0400d7e348af300a5db5d944a0dad357c91119eb4fa7	attic/documentation-20260906.tar.gz:docs/RELEASE_POLICY.md
docs/REPLY_THINK.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/REPLY_THINK.md	0f36a2807e511dcca67c85fba23eb28f2c5ac86045ce17ce98ab714e06151f84	attic/documentation-20260906.tar.gz:docs/REPLY_THINK.md
docs/ROE_ASI.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/ROE_ASI.md	f76a13a2c0e5ff871733670da47dd65f50e84b3e82100a79bf24404217cb59b6	attic/documentation-20260906.tar.gz:docs/ROE_ASI.md
docs/ROE_SELF_MODEL.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/ROE_SELF_MODEL.md	a6ec59eb57b718ba3bd17c5df733547adfc4f21cb66167248ef80fa87c5ab988	attic/documentation-20260906.tar.gz:docs/ROE_SELF_MODEL.md
docs/SPEECH_CAPSULE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/SPEECH_CAPSULE.md	23ced334bf153255f2b3510c54e441828f95898ceb943a140a667d239fee90f9	attic/documentation-20260906.tar.gz:docs/SPEECH_CAPSULE.md
docs/STM_LTM_BRIDGE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/STM_LTM_BRIDGE.md	6e1b85d40a570692823368a54110378f196578b885b5de245132efa662048942	attic/documentation-20260906.tar.gz:docs/STM_LTM_BRIDGE.md
docs/STREAM_INDEX_ATTEND.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/STREAM_INDEX_ATTEND.md	2d38fb3696c4e24313e8496da3e56f2f01939357638a37bf5ea89a33e3b07308	attic/documentation-20260906.tar.gz:docs/STREAM_INDEX_ATTEND.md
docs/TEACH_PATH.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/TEACH_PATH.md	9e82b4b6966aace1874b4bf7c7e7cc0749a188075c4297cd97287cdc691be442	attic/documentation-20260906.tar.gz:docs/TEACH_PATH.md
docs/THIRD_WAY_MARBLE_PEER.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/THIRD_WAY_MARBLE_PEER.md	2bfeeffd1de390bc96ecac6fdf5f39959aa91dc1dc1676672907cd7eda96a8da	attic/documentation-20260906.tar.gz:docs/THIRD_WAY_MARBLE_PEER.md
docs/THOUGHT_PROCESS.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/THOUGHT_PROCESS.md	b412b6e8a40d58c9d028fef12bb138565d6126778873635728e9bed2cff7bc5d	attic/documentation-20260906.tar.gz:docs/THOUGHT_PROCESS.md
docs/UTTERANCE.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/UTTERANCE.md	ad6c433a6d24f5bc7e68043300fae14c475e808ef898b914aab772aa9a91c2b9	attic/documentation-20260906.tar.gz:docs/UTTERANCE.md
docs/WEIGHT_EPOCH.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/WEIGHT_EPOCH.md	efaa6942818f581cd81f9baeab9bf4c73897e8ccd5a4b5df903075ecce4fc9e7	attic/documentation-20260906.tar.gz:docs/WEIGHT_EPOCH.md
docs/cce_lily.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/cce_lily.md	7d040319ad87350aacad3f81410ab9ed3258b193396a7b206adc806452cd4577	attic/documentation-20260906.tar.gz:docs/cce_lily.md
docs/cce_lora.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/cce_lora.md	60d2c20c313aa19b7096d0c4abc95154dd371693c610b083acc931ce46dee1c5	attic/documentation-20260906.tar.gz:docs/cce_lora.md
docs/cnet-history.md	preserve	dated/frozen evidence or negative result; preserve exact record	-	54b9bb23d4389092be278e8ae55571e8ae291ee6d4241197aae62923de1226bf	git:c6154036880c87db69c880ba36a22087815b48b0:docs/cnet-history.md
docs/cnet_async_context_pipeline.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/cnet_async_context_pipeline.md	50e03ec1eb7d4ac4374553a4a11222bbc07627d20c48de9aac40d70f4af4992e	attic/documentation-20260906.tar.gz:docs/cnet_async_context_pipeline.md
docs/cnet_bounded_gpu_offload.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/cnet_bounded_gpu_offload.md	cb3686abbdd6c1f30cdf960a5e569087aa1615d6367b9b1a7ff9f7e099764d75	attic/documentation-20260906.tar.gz:docs/cnet_bounded_gpu_offload.md
docs/cnet_dotnet_inference_harness.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	docs/cnet_dotnet_inference_harness.md	27a24705484e80c5c7aa4d68422b38203a1c424044a89a293985ed9c243290de	attic/documentation-20260906.tar.gz:docs/cnet_dotnet_inference_harness.md
docs/contracts/counterfactual_routing.md	preserve	retained design/behavior contract; not a current operating checklist	-	c9e50f791a9e073e33371890f4fb11b78e34024ca27bfd9369b95815c0da5227	git:c6154036880c87db69c880ba36a22087815b48b0:docs/contracts/counterfactual_routing.md
docs/contracts/narrative_coherence.md	preserve	retained design/behavior contract; not a current operating checklist	-	82787214b9363c71dc789d7d036fd441e6130837aa80ad2ba963528ea5843994	git:c6154036880c87db69c880ba36a22087815b48b0:docs/contracts/narrative_coherence.md
docs/contracts/sparse_kv_routing.md	preserve	retained design/behavior contract; not a current operating checklist	-	68271c050810e4842453e2450b28f3331f139c07fcc9bb75f03278d9e7e18295	git:c6154036880c87db69c880ba36a22087815b48b0:docs/contracts/sparse_kv_routing.md
